,property_id,address,property_name,description,num_bedroom,num_bathroom,area_size,price,transaction_type,property_type,parking,laundry,furnished,pet_friendly,latitude,longitude,build_year,smoking_allowed,air_conditioning,hardwood_floors,balcony
88,494681,10525 83 Avenue Northwest,10525 83 Avenue Northwest,10525 83 Avenue Northwest,2,1,970,1400,Rent,Apartment,garage,shared,True,True,53.518865,-113.5013847,2000-01-01,False,False,False,False
89,531102,,,,1,1,500,900,Rent,Basement,underground,shared,False,True,53.5550579,-113.5321442,2000-01-01,False,False,True,True
90,530351,5115 152A Avenue Northwest,5115 152A Avenue Northwest,5115 152A Avenue Northwest,3,2,1600,1975,Rent,Main Floor,garage,shared,True,True,53.6144685,-113.4206636,2000-01-01,False,True,True,True
91,288623,10350 122 St. NW,10350 122 St. NW,10350 122 St. NW,1,1,750,1329,Rent,Apartment,underground,shared,True,True,53.546194052241,-113.53271226085,2000-01-01,False,False,True,True
92,532462,612 83 Street Southwest,612 83 Street Southwest,612 83 Street Southwest,3,1.5,1300,1900,Rent,Duplex,garage,shared,False,True,53.426578,-113.4612292,2000-01-01,False,False,True,False
93,532267,11108 40 Avenue Northwest,11108 40 Avenue Northwest,11108 40 Avenue Northwest,3,1.5,1170,1800,Rent,House,covered,in_suite,False,True,53.4760386,-113.5177446,2000-01-01,False,False,True,False
94,528988,9104 176 Avenue Northwest,9104 176 Avenue Northwest,9104 176 Avenue Northwest,4.5,3,,2295,Rent,House,garage,in_suite,False,False,53.6386527,-113.4799973,2000-01-01,False,False,True,True
95,439528,10360 102 St NW,10360 102 St NW,10360 102 St NW,1,1,562,2100,Rent,Condo Unit,outdoor,shared,True,True,53.5457543,-113.4962335,2000-01-01,False,True,True,False
96,427629,11311 89 st,11311 89 st,11311 89 st,2,1,,1200,Rent,House,covered,shared,True,True,53.563156,-113.4776269,2000-01-01,False,False,True,True
97,532559,11128 54 Avenue Northwest,11128 54 Avenue Northwest,11128 54 Avenue Northwest,6,3,2100,2300,Rent,House,underground,shared,False,False,53.4908454,-113.5187682,2000-01-01,False,True,False,True
98,532224,17003 67 Ave NW,17003 67 Ave NW,17003 67 Ave NW,2,2,900,1500,Rent,Condo Unit,underground,shared,False,False,53.5019441,-113.6163387,2000-01-01,False,False,False,True
99,495597,12025 22 Avenue SW,12025 22 Avenue SW,12025 22 Avenue SW,2.5,2,,1550,Rent,Condo Unit,garage,shared,True,True,53.4108668,-113.5352462,2000-01-01,False,False,False,True
100,494948,17325 8A Avenue Southwest,17325 8A Avenue Southwest,17325 8A Avenue Southwest,4,3.5,1825,2095,Rent,Duplex,outdoor,shared,False,False,53.4263694,-113.6192276,2000-01-01,False,True,True,True
